Region,Rainfed area (ha),Irrigated area (ha),Total (ha)
Fez Meknes,299911,46375,346286
Marrakech Safi,47151,16795,215102
Tangier Tetouan Al Hoceima,160432,2306,162737
Oriental,55598,67005,122603
Beni Mellal Khenifra,33281,46796,80077
Rabat Sale Kenitra,56727,9408,66135
Souss Massa,2506,1695,19455
Draa Tafilalet,1546,14262,15808
Casablanca Settat,3506,11319,14826
Guelmim Oued Noun,,2157,2157
